x,y
255,4290
256,4289
256,4288
256,4287
256,4286
256,4285
256,4284
256,4283
256,4282
256,4281
256,4280
256,4279
256,4278
257,4277
257,4276
257,4275
257,4274
258,4273
258,4272
258,4271
258,4270
259,4269
259,4268
259,4267
259,4266
259,4265
259,4264
259,4263
260,4262
260,4261
260,4260
260,4259
260,4258
260,4257
260,4256
260,4255
260,4254
260,4253
260,4252
260,4251
260,4250
260,4249
260,4248
260,4247
260,4246
260,4245
260,4244
260,4243
260,4242
261,4241
261,4240
261,4239
261,4238
261,4237
261,4236
261,4235
262,4234
262,4233
262,4232
262,4231
262,4230
262,4229
263,4228
263,4227
263,4226
263,4225
264,4224
264,4223
264,4222
264,4221
264,4220
264,4219
265,4218
265,4217
265,4216
265,4215
265,4214
265,4213
265,4212
265,4211
265,4210
265,4209
265,4208
265,4207
265,4206
265,4205
265,4204
265,4203
265,4202
266,4201
266,4200
266,4199
266,4198
266,4197
266,4196
266,4195
266,4194
266,4193
267,4192
267,4191
267,4190
267,4189
268,4188
268,4187
269,4186
269,4185
269,4184
270,4183
270,4182
270,4181
270,4180
270,4179
270,4178
270,4177
270,4176
270,4175
270,4174
270,4173
270,4172
270,4171
270,4170
270,4169
270,4168
271,4167
271,4166
271,4165
271,4164
271,4163
271,4162
271,4161
272,4160
272,4159
272,4158
272,4157
273,4156
273,4155
273,4154
273,4153
273,4152
273,4151
274,4150
274,4149
274,4148
274,4147
275,4146
275,4145
275,4144
275,4143
275,4142
275,4141
275,4140
275,4139
275,4138
275,4137
275,4136
276,4135
276,4134
276,4133
276,4132
276,4131
276,4130
276,4129
276,4128
276,4127
276,4126
276,4125
277,4124
277,4123
278,4122
278,4121
279,4120
279,4119
279,4118
279,4117
279,4116
280,4115
280,4114
280,4113
280,4112
280,4111
280,4110
280,4109
280,4108
280,4107
280,4106
280,4105
280,4104
280,4103
281,4102
281,4101
281,4100
281,4099
281,4098
281,4097
281,4096
281,4095
281,4094
281,4093
282,4092
282,4091
282,4090
282,4089
283,4088
283,4087
283,4086
283,4085
283,4084
284,4083
284,4082
284,4081
284,4080
284,4079
284,4078
284,4077
285,4076
285,4075
285,4074
285,4073
285,4072
285,4071
285,4070
285,4069
285,4068
285,4067
285,4066
286,4065
286,4064
286,4063
286,4062
286,4061
286,4060
286,4059
286,4058
286,4057
286,4056
286,4055
286,4054
287,4053
287,4052
287,4051
287,4050
288,4049
288,4048
289,4047
289,4046
289,4045
289,4044
289,4043
290,4042
290,4041
290,4040
290,4039
290,4038
290,4037
290,4036
290,4035
290,4034
290,4033
290,4032
290,4031
290,4030
290,4029
291,4028
