x,y
150 ,1669
150 ,1668
151 ,1667
151 ,1666
151 ,1665
151 ,1664
151 ,1663
151 ,1662
151 ,1661
151 ,1660
151 ,1659
151 ,1658
151 ,1657
151 ,1656
152 ,1655
152 ,1654
152 ,1653
152 ,1652
152 ,1651
152 ,1650
152 ,1649
152 ,1648
152 ,1647
152 ,1646
152 ,1645
152 ,1644
152 ,1643
153 ,1642
153 ,1641
153 ,1640
153 ,1639
153 ,1638
153 ,1637
153 ,1636
153 ,1635
153 ,1634
153 ,1633
153 ,1632
154 ,1631
154 ,1630
154 ,1629
154 ,1628
154 ,1627
154 ,1626
154 ,1625
154 ,1624
154 ,1623
154 ,1622
154 ,1621
154 ,1620
155 ,1619
155 ,1618
155 ,1617
155 ,1616
155 ,1615
155 ,1614
155 ,1613
155 ,1612
155 ,1611
155 ,1610
155 ,1609
155 ,1608
156 ,1607
156 ,1606
156 ,1605
156 ,1604
156 ,1603
156 ,1602
156 ,1601
156 ,1600
156 ,1599
156 ,1598
157 ,1597
157 ,1596
157 ,1595
157 ,1594
157 ,1593
157 ,1592
157 ,1591
157 ,1590
157 ,1589
157 ,1588
157 ,1587
158 ,1586
158 ,1585
158 ,1584
158 ,1583
158 ,1582
158 ,1581
158 ,1580
158 ,1579
158 ,1578
159 ,1577
159 ,1576
159 ,1575
159 ,1574
159 ,1573
159 ,1572
159 ,1571
159 ,1570
159 ,1569
160 ,1568
160 ,1567
160 ,1566
160 ,1565
160 ,1564
160 ,1563
160 ,1562
161 ,1561
161 ,1560
161 ,1559
161 ,1558
161 ,1557
161 ,1556
161 ,1555
162 ,1554
162 ,1553
162 ,1552
162 ,1551
162 ,1550
162 ,1549
162 ,1548
163 ,1547
163 ,1546
163 ,1545
163 ,1544
163 ,1543
163 ,1542
163 ,1541
164 ,1540
164 ,1539
164 ,1538
164 ,1537
164 ,1536
164 ,1535
164 ,1534
165 ,1533
165 ,1532
165 ,1531
165 ,1530
165 ,1529
165 ,1528
165 ,1527
166 ,1526
166 ,1525
166 ,1524
166 ,1523
166 ,1522
166 ,1521
166 ,1520
167 ,1519
167 ,1518
167 ,1517
167 ,1516
167 ,1515
167 ,1514
168 ,1513
168 ,1512
168 ,1511
168 ,1510
168 ,1509
168 ,1508
168 ,1507
169 ,1506
169 ,1505
169 ,1504
169 ,1503
169 ,1502
169 ,1501
169 ,1500
170 ,1499
170 ,1498
170 ,1497
170 ,1496
170 ,1495
170 ,1494
171 ,1493
171 ,1492
171 ,1491
171 ,1490
171 ,1489
171 ,1488
171 ,1487
172 ,1486
172 ,1485
172 ,1484
172 ,1483
172 ,1482
172 ,1481
173 ,1480
173 ,1479
173 ,1478
173 ,1477
173 ,1476
173 ,1475
173 ,1474
174 ,1473
174 ,1472
174 ,1471
174 ,1470
174 ,1469
174 ,1468
174 ,1467
175 ,1466
175 ,1465
175 ,1464
175 ,1463
175 ,1462
175 ,1461
176 ,1460
176 ,1459
176 ,1458
176 ,1457
176 ,1456
176 ,1455
176 ,1454
177 ,1453
177 ,1452
177 ,1451
177 ,1450
177 ,1449
177 ,1448
178 ,1447
178 ,1446
178 ,1445
178 ,1444
178 ,1443
178 ,1442
179 ,1441
179 ,1440
179 ,1439
179 ,1438
179 ,1437
179 ,1436
179 ,1435
180 ,1434
180 ,1433
180 ,1432
180 ,1431
180 ,1430
180 ,1429
181 ,1428
181 ,1427
181 ,1426
181 ,1425
181 ,1424
181 ,1423
181 ,1422
182 ,1421
182 ,1420
182 ,1419
182 ,1418
182 ,1417
182 ,1416
183 ,1415
183 ,1414
183 ,1413
183 ,1412
183 ,1411
183 ,1410
183 ,1409
184 ,1408
184 ,1407
184 ,1406
184 ,1405
184 ,1404
184 ,1403
185 ,1402
185 ,1401
185 ,1400
185 ,1399
185 ,1398
185 ,1397
186 ,1396
186 ,1395
186 ,1394
186 ,1393
186 ,1392
186 ,1391
186 ,1390
187 ,1389
187 ,1388
187 ,1387
187 ,1386
187 ,1385
187 ,1384
188 ,1383
188 ,1382
188 ,1381
188 ,1380
188 ,1379
188 ,1378
189 ,1377
189 ,1376
189 ,1375
189 ,1374
189 ,1373
189 ,1372
189 ,1371
190 ,1370
190 ,1369
190 ,1368
190 ,1367
190 ,1366
190 ,1365
191 ,1364
191 ,1363
191 ,1362
191 ,1361
191 ,1360
191 ,1359
192 ,1358
192 ,1357
192 ,1356
192 ,1355
192 ,1354
192 ,1353
192 ,1352
193 ,1351
193 ,1350
193 ,1349
193 ,1348
193 ,1347
193 ,1346
194 ,1345
194 ,1344
194 ,1343
194 ,1342
194 ,1341
194 ,1340
195 ,1339
195 ,1338
195 ,1337
195 ,1336
195 ,1335
195 ,1334
196 ,1333
196 ,1332
196 ,1331
196 ,1330
196 ,1329
196 ,1328
196 ,1327
197 ,1326
197 ,1325
197 ,1324
197 ,1323
197 ,1322
197 ,1321
198 ,1320
198 ,1319
198 ,1318
198 ,1317
198 ,1316
198 ,1315
199 ,1314
199 ,1313
199 ,1312
199 ,1311
199 ,1310
199 ,1309
199 ,1308
200 ,1307
200 ,1306
200 ,1305
200 ,1304
200 ,1303
200 ,1302
201 ,1301
201 ,1300
201 ,1299
201 ,1298
201 ,1297
201 ,1296
202 ,1295
202 ,1294
202 ,1293
202 ,1292
202 ,1291
202 ,1290
203 ,1289
203 ,1288
203 ,1287
203 ,1286
203 ,1285
203 ,1284
204 ,1283
204 ,1282
204 ,1281
204 ,1280
204 ,1279
204 ,1278
205 ,1277
205 ,1276
205 ,1275
205 ,1274
205 ,1273
205 ,1272
205 ,1271
206 ,1270
