Contact,Date1,Date2,start x,start y,end x,end y
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,511.3424,331.6557
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,1398.396,321.1561
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,513.2186,341.5938
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,1397.782,338.1874
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,511.4048,336.423
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,1399.561,369.3595
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,511.6162,377.7463
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,1395.32,392.5767
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,410.5849,195.644
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,512.0049,267.4615
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,1406.106,289.1678
S109_Median_8,20-Apr-2017,28-Jun-2017,215.521,595.6842,354.0642,451.5566
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,511.3424,331.6557
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,1398.396,321.1561
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,513.2186,341.5938
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,1397.782,338.1874
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,511.4048,336.423
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,1399.561,369.3595
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,511.6162,377.7463
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,1395.32,392.5767
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,410.5849,195.644
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,512.0049,267.4615
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,1406.106,289.1678
S109_Median_8,20-Apr-2017,28-Jun-2017,197.0436,578.4542,354.0642,451.5566
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,511.3424,331.6557
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,1398.396,321.1561
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,513.2186,341.5938
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,1397.782,338.1874
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,511.4048,336.423
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,1399.561,369.3595
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,511.6162,377.7463
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,1395.32,392.5767
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,410.5849,195.644
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,512.0049,267.4615
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,1406.106,289.1678
S109_Median_8,20-Apr-2017,28-Jun-2017,200.0488,576.3478,354.0642,451.5566
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,511.3424,331.6557
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,1398.396,321.1561
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,513.2186,341.5938
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,1397.782,338.1874
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,511.4048,336.423
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,1399.561,369.3595
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,511.6162,377.7463
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,1395.32,392.5767
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,410.5849,195.644
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,512.0049,267.4615
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,1406.106,289.1678
S109_Median_8,20-Apr-2017,28-Jun-2017,199.8751,587.9236,354.0642,451.5566
