Contact,Date1,Date2,start x,start y,end x,end y
S107_Median_2,16-Jun-2016,30-Jun-2016,1414.703,411.8363,471.2868,797.9712
S107_Median_2,16-Jun-2016,30-Jun-2016,1414.703,411.8363,429.4964,788.7545
S107_Median_2,16-Jun-2016,30-Jun-2016,1414.703,411.8363,497.7513,951.4916
S107_Median_2,16-Jun-2016,30-Jun-2016,568.1974,831.5097,471.2868,797.9712
S107_Median_2,16-Jun-2016,30-Jun-2016,568.1974,831.5097,429.4964,788.7545
S107_Median_2,16-Jun-2016,30-Jun-2016,568.1974,831.5097,497.7513,951.4916
S107_Median_2,16-Jun-2016,30-Jun-2016,332.6954,714.3768,471.2868,797.9712
S107_Median_2,16-Jun-2016,30-Jun-2016,332.6954,714.3768,429.4964,788.7545
S107_Median_2,16-Jun-2016,30-Jun-2016,332.6954,714.3768,497.7513,951.4916
S107_Median_2,16-Jun-2016,30-Jun-2016,421.4766,575.9699,471.2868,797.9712
S107_Median_2,16-Jun-2016,30-Jun-2016,421.4766,575.9699,429.4964,788.7545
S107_Median_2,16-Jun-2016,30-Jun-2016,421.4766,575.9699,497.7513,951.4916
S107_Median_2,16-Jun-2016,30-Jun-2016,562.7296,491.4585,471.2868,797.9712
S107_Median_2,16-Jun-2016,30-Jun-2016,562.7296,491.4585,429.4964,788.7545
S107_Median_2,16-Jun-2016,30-Jun-2016,562.7296,491.4585,497.7513,951.4916
S107_Median_2,16-Jun-2016,30-Jun-2016,566.3328,411.7921,471.2868,797.9712
S107_Median_2,16-Jun-2016,30-Jun-2016,566.3328,411.7921,429.4964,788.7545
S107_Median_2,16-Jun-2016,30-Jun-2016,566.3328,411.7921,497.7513,951.4916
S107_Median_2,30-Jun-2016,21-Jul-2016,471.2868,797.9712,415.6822,799.5491
S107_Median_2,30-Jun-2016,21-Jul-2016,471.2868,797.9712,398.9032,787.421
S107_Median_2,30-Jun-2016,21-Jul-2016,471.2868,797.9712,356.383,756.0957
S107_Median_2,30-Jun-2016,21-Jul-2016,471.2868,797.9712,382.4961,779.1605
S107_Median_2,30-Jun-2016,21-Jul-2016,471.2868,797.9712,395.5697,775.4788
S107_Median_2,30-Jun-2016,21-Jul-2016,429.4964,788.7545,415.6822,799.5491
S107_Median_2,30-Jun-2016,21-Jul-2016,429.4964,788.7545,398.9032,787.421
S107_Median_2,30-Jun-2016,21-Jul-2016,429.4964,788.7545,356.383,756.0957
S107_Median_2,30-Jun-2016,21-Jul-2016,429.4964,788.7545,382.4961,779.1605
S107_Median_2,30-Jun-2016,21-Jul-2016,429.4964,788.7545,395.5697,775.4788
S107_Median_2,30-Jun-2016,21-Jul-2016,497.7513,951.4916,415.6822,799.5491
S107_Median_2,30-Jun-2016,21-Jul-2016,497.7513,951.4916,398.9032,787.421
S107_Median_2,30-Jun-2016,21-Jul-2016,497.7513,951.4916,356.383,756.0957
S107_Median_2,30-Jun-2016,21-Jul-2016,497.7513,951.4916,382.4961,779.1605
S107_Median_2,30-Jun-2016,21-Jul-2016,497.7513,951.4916,395.5697,775.4788
S107_Median_2,21-Jul-2016,18-Aug-2016,415.6822,799.5491,402.5869,836.004
S107_Median_2,21-Jul-2016,18-Aug-2016,415.6822,799.5491,394.0454,808.25
S107_Median_2,21-Jul-2016,18-Aug-2016,415.6822,799.5491,392.4294,813.3816
S107_Median_2,21-Jul-2016,18-Aug-2016,415.6822,799.5491,271.2144,744.0998
S107_Median_2,21-Jul-2016,18-Aug-2016,415.6822,799.5491,352.8226,795.8593
S107_Median_2,21-Jul-2016,18-Aug-2016,398.9032,787.421,402.5869,836.004
S107_Median_2,21-Jul-2016,18-Aug-2016,398.9032,787.421,394.0454,808.25
S107_Median_2,21-Jul-2016,18-Aug-2016,398.9032,787.421,392.4294,813.3816
S107_Median_2,21-Jul-2016,18-Aug-2016,398.9032,787.421,271.2144,744.0998
S107_Median_2,21-Jul-2016,18-Aug-2016,398.9032,787.421,352.8226,795.8593
S107_Median_2,21-Jul-2016,18-Aug-2016,356.383,756.0957,402.5869,836.004
S107_Median_2,21-Jul-2016,18-Aug-2016,356.383,756.0957,394.0454,808.25
S107_Median_2,21-Jul-2016,18-Aug-2016,356.383,756.0957,392.4294,813.3816
S107_Median_2,21-Jul-2016,18-Aug-2016,356.383,756.0957,271.2144,744.0998
S107_Median_2,21-Jul-2016,18-Aug-2016,356.383,756.0957,352.8226,795.8593
S107_Median_2,21-Jul-2016,18-Aug-2016,382.4961,779.1605,402.5869,836.004
S107_Median_2,21-Jul-2016,18-Aug-2016,382.4961,779.1605,394.0454,808.25
S107_Median_2,21-Jul-2016,18-Aug-2016,382.4961,779.1605,392.4294,813.3816
S107_Median_2,21-Jul-2016,18-Aug-2016,382.4961,779.1605,271.2144,744.0998
S107_Median_2,21-Jul-2016,18-Aug-2016,382.4961,779.1605,352.8226,795.8593
S107_Median_2,21-Jul-2016,18-Aug-2016,395.5697,775.4788,402.5869,836.004
S107_Median_2,21-Jul-2016,18-Aug-2016,395.5697,775.4788,394.0454,808.25
S107_Median_2,21-Jul-2016,18-Aug-2016,395.5697,775.4788,392.4294,813.3816
S107_Median_2,21-Jul-2016,18-Aug-2016,395.5697,775.4788,271.2144,744.0998
S107_Median_2,21-Jul-2016,18-Aug-2016,395.5697,775.4788,352.8226,795.8593
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,243.6991,715.8462
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,203.7243,667.2478
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,322.0659,806.7734
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,213.2776,665.4702
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,277.6873,754.5853
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,309.451,779.5452
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,281.0218,750.9593
S107_Median_2,18-Aug-2016,22-Sep-2016,402.5869,836.004,272.0075,740.0584
