Contact,Date1,Date2,start x,start y,end x,end y
RCT02_pMedian_8,15-Feb-2023,07-Mar-2023,1444.349,1336.1,1362.486,982.3107
RCT02_pMedian_8,07-Mar-2023,05-Apr-2023,1362.486,982.3107,425.0847,919.454
RCT02_pMedian_8,07-Mar-2023,05-Apr-2023,1362.486,982.3107,1508.866,916.1232
RCT02_pMedian_8,07-Mar-2023,05-Apr-2023,1362.486,982.3107,561.5573,929.9268
RCT02_pMedian_8,07-Mar-2023,05-Apr-2023,1362.486,982.3107,1384.337,931.8394
RCT02_pMedian_8,05-Apr-2023,10-May-2023,425.0847,919.454,433.2,376
RCT02_pMedian_8,05-Apr-2023,10-May-2023,425.0847,919.454,439,402
RCT02_pMedian_8,05-Apr-2023,10-May-2023,425.0847,919.454,442,414.5
RCT02_pMedian_8,05-Apr-2023,10-May-2023,425.0847,919.454,556.4801,693.574
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1508.866,916.1232,433.2,376
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1508.866,916.1232,439,402
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1508.866,916.1232,442,414.5
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1508.866,916.1232,556.4801,693.574
RCT02_pMedian_8,05-Apr-2023,10-May-2023,561.5573,929.9268,433.2,376
RCT02_pMedian_8,05-Apr-2023,10-May-2023,561.5573,929.9268,439,402
RCT02_pMedian_8,05-Apr-2023,10-May-2023,561.5573,929.9268,442,414.5
RCT02_pMedian_8,05-Apr-2023,10-May-2023,561.5573,929.9268,556.4801,693.574
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1384.337,931.8394,433.2,376
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1384.337,931.8394,439,402
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1384.337,931.8394,442,414.5
RCT02_pMedian_8,05-Apr-2023,10-May-2023,1384.337,931.8394,556.4801,693.574
