Contact,Date1,Date2,start x,start y,end x,end y
S104_Median_4,10-Apr-2013,11-Apr-2013,468.7791,270.7654,439.2213,261.788
S104_Median_4,10-Apr-2013,11-Apr-2013,468.7791,270.7654,1543.634,272.2861
S104_Median_4,10-Apr-2013,11-Apr-2013,468.7791,270.7654,450.8091,222.3919
S104_Median_4,10-Apr-2013,11-Apr-2013,468.7791,270.7654,1547.164,221.8115
S104_Median_4,10-Apr-2013,11-Apr-2013,509.5253,305.0462,439.2213,261.788
S104_Median_4,10-Apr-2013,11-Apr-2013,509.5253,305.0462,1543.634,272.2861
S104_Median_4,10-Apr-2013,11-Apr-2013,509.5253,305.0462,450.8091,222.3919
S104_Median_4,10-Apr-2013,11-Apr-2013,509.5253,305.0462,1547.164,221.8115
S104_Median_4,10-Apr-2013,11-Apr-2013,501.7858,306.8125,439.2213,261.788
S104_Median_4,10-Apr-2013,11-Apr-2013,501.7858,306.8125,1543.634,272.2861
S104_Median_4,10-Apr-2013,11-Apr-2013,501.7858,306.8125,450.8091,222.3919
S104_Median_4,10-Apr-2013,11-Apr-2013,501.7858,306.8125,1547.164,221.8115
S104_Median_4,10-Apr-2013,11-Apr-2013,433.3421,203.574,439.2213,261.788
S104_Median_4,10-Apr-2013,11-Apr-2013,433.3421,203.574,1543.634,272.2861
S104_Median_4,10-Apr-2013,11-Apr-2013,433.3421,203.574,450.8091,222.3919
S104_Median_4,10-Apr-2013,11-Apr-2013,433.3421,203.574,1547.164,221.8115
S104_Median_4,10-Apr-2013,11-Apr-2013,1539.421,177.2108,439.2213,261.788
S104_Median_4,10-Apr-2013,11-Apr-2013,1539.421,177.2108,1543.634,272.2861
S104_Median_4,10-Apr-2013,11-Apr-2013,1539.421,177.2108,450.8091,222.3919
S104_Median_4,10-Apr-2013,11-Apr-2013,1539.421,177.2108,1547.164,221.8115
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,495.3394,259.6895
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,1539.542,243.6786
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,508.6436,311.532
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,1555.431,327.7697
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,436.1359,152.3534
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,1537.88,148.0849
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,439.444,188.921
S104_Median_4,11-Apr-2013,29-Apr-2013,439.2213,261.788,1538.84,169.1151
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,495.3394,259.6895
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,1539.542,243.6786
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,508.6436,311.532
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,1555.431,327.7697
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,436.1359,152.3534
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,1537.88,148.0849
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,439.444,188.921
S104_Median_4,11-Apr-2013,29-Apr-2013,1543.634,272.2861,1538.84,169.1151
