Contact,Date1,Date2,start x,start y,end x,end y
S104_Median_2,31-Jan-2013,11-Feb-2013,762.6487,617.6507,656.8627,604.2769
S104_Median_2,31-Jan-2013,11-Feb-2013,762.6487,617.6507,712.6263,655.1759
S104_Median_2,11-Feb-2013,12-Feb-2013,656.8627,604.2769,866.6321,565.281
S104_Median_2,11-Feb-2013,12-Feb-2013,656.8627,604.2769,639.6419,250.5777
S104_Median_2,11-Feb-2013,12-Feb-2013,656.8627,604.2769,687.8282,492.687
S104_Median_2,11-Feb-2013,12-Feb-2013,656.8627,604.2769,1282.161,550.1057
S104_Median_2,11-Feb-2013,12-Feb-2013,712.6263,655.1759,866.6321,565.281
S104_Median_2,11-Feb-2013,12-Feb-2013,712.6263,655.1759,639.6419,250.5777
S104_Median_2,11-Feb-2013,12-Feb-2013,712.6263,655.1759,687.8282,492.687
S104_Median_2,11-Feb-2013,12-Feb-2013,712.6263,655.1759,1282.161,550.1057
S104_Median_2,12-Feb-2013,11-Mar-2013,866.6321,565.281,1155.013,617.7796
S104_Median_2,12-Feb-2013,11-Mar-2013,866.6321,565.281,818.1454,558.6572
S104_Median_2,12-Feb-2013,11-Mar-2013,639.6419,250.5777,1155.013,617.7796
S104_Median_2,12-Feb-2013,11-Mar-2013,639.6419,250.5777,818.1454,558.6572
S104_Median_2,12-Feb-2013,11-Mar-2013,687.8282,492.687,1155.013,617.7796
S104_Median_2,12-Feb-2013,11-Mar-2013,687.8282,492.687,818.1454,558.6572
S104_Median_2,12-Feb-2013,11-Mar-2013,1282.161,550.1057,1155.013,617.7796
S104_Median_2,12-Feb-2013,11-Mar-2013,1282.161,550.1057,818.1454,558.6572
S104_Median_2,11-Mar-2013,10-Apr-2013,1155.013,617.7796,607.8838,138.2857
S104_Median_2,11-Mar-2013,10-Apr-2013,1155.013,617.7796,616.69,269.4769
S104_Median_2,11-Mar-2013,10-Apr-2013,818.1454,558.6572,607.8838,138.2857
S104_Median_2,11-Mar-2013,10-Apr-2013,818.1454,558.6572,616.69,269.4769
S104_Median_2,10-Apr-2013,11-Apr-2013,607.8838,138.2857,604.9536,163.3333
S104_Median_2,10-Apr-2013,11-Apr-2013,607.8838,138.2857,605.1171,391.7163
S104_Median_2,10-Apr-2013,11-Apr-2013,607.8838,138.2857,601.9986,187.1512
S104_Median_2,10-Apr-2013,11-Apr-2013,616.69,269.4769,604.9536,163.3333
S104_Median_2,10-Apr-2013,11-Apr-2013,616.69,269.4769,605.1171,391.7163
S104_Median_2,10-Apr-2013,11-Apr-2013,616.69,269.4769,601.9986,187.1512
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,562.7191,762.232
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,592.366,151.2528
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,570.0603,578.875
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,569.987,882.4684
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,563.757,566.3176
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,1539.092,673.1317
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,1662.795,329.651
S104_Median_2,11-Apr-2013,29-Apr-2013,604.9536,163.3333,491.0075,699.1325
S104_Median_2,11-Apr-2013,29-Apr-2013,605.1171,391.7163,562.7191,762.232
S104_Median_2,11-Apr-2013,29-Apr-2013,605.1171,391.7163,592.366,151.2528
S104_Median_2,11-Apr-2013,29-Apr-2013,605.1171,391.7163,570.0603,578.875
